ID,uniorg,interests,subject,grad_date,course_level,branch_name,age,gender,space_word,mtype,status,registration_date
1767,University of Manchester,,,,,,0,male,,student,150,01/01/2015
1768,Aster,,,,,,0,male,,student,150,01/01/2015
1769,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1770,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1771,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1772,Imperial College,,,,,,0,male,,student,150,01/01/2015
1773,University College London,,,,,,0,,,student,150,01/01/2015
1774,King\'s College London,,,,,King\'s College Maxwell Society,0,male,,branch,150,01/01/2015
1775,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1776,Bristol,,,,,Bristol SEDS (UBSEDS),0,male,,branch,150,01/01/2015
1777,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,student,150,01/01/2015
1778,University of Nottingham,,,,,,0,female,,non-student,150,01/01/2015
1779,,,,,,,0,male,,student,150,01/01/2015
1780,INITIATIVE FOR INTERSTELLAR STUDIES,,,,,,0,female,,non-student,150,01/01/2015
1781,University of York,,,,,,0,male,,student,150,01/01/2015
1782,Bootham School,,,,,,0,male,,student,150,01/01/2015
1783,Charterhouse,,,,,,0,male,,student,150,01/01/2015
1784,Llanishen High School,,,,,,0,male,,student,150,01/01/2015
1785,St Olave's Grammar School,,,,,,0,male,,student,150,01/01/2015
1786,University of Nottingham,,,,,,0,male,,student,150,01/01/2015
1787,Hyndland Secondary School,,,,,,0,male,,student,150,01/01/2015
1788,Oxford University,,,,,,0,female,,student,150,01/01/2015
1789,DeMontfort University Leicester,,,,,,0,male,,student,150,01/01/2015
1790,Open University,,,,,,0,male,,student,150,01/01/2015
1791,University of Warwick,,,,,,0,male,,student,150,01/01/2015
1792,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,female,,student,150,01/01/2015
1793,Bay House School and Sixth Form,,,,,,0,female,,student,150,01/01/2015
1794,University of Bristol,,,,,,0,male,,student,150,01/01/2015
1795,Staffordshire University,,,,,,0,male,,student,150,01/01/2015
1796,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1797,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1798,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1799,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1800,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1801,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1802,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1803,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1804,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1805,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,female,,branch,150,01/01/2015
1806,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1807,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1808,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1809,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1810,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,female,,branch,150,01/01/2015
1811,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1812,Kingston University,,,,,Kingston Aeronautical & Space Society,0,male,,branch,150,01/01/2015
1813,,,,,,Southampton University Spaceflight Society (SUSF),0,male,,student,150,01/01/2015
1814,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,,,branch,150,01/01/2015
1815,UCL,,,,,MSSLSEDS,0,female,,branch,150,01/01/2015
1816,University of St Andrews,,,,,St Andrews AstroSoc,0,male,,branch,150,01/01/2015
1817,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1818,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,female,,branch,150,01/01/2015
1819,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1820,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1821,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1822,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1823,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,female,,branch,150,01/01/2015
1824,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1825,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1826,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1827,University of Strathclyde,,,,,Strathclyde SEDS (StrathSEDS),0,male,,branch,150,01/01/2015
1828,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1829,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1830,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,female,,branch,150,01/01/2015
1831,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1832,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1833,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1834,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1835,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1836,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,,,branch,150,01/01/2015
1837,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,female,,branch,150,01/01/2015
1838,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,female,,branch,150,01/01/2015
1839,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1840,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1841,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1842,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,,,branch,150,01/01/2015
1843,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1844,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1845,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1846,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,,,branch,150,01/01/2015
1847,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1848,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1849,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,male,,branch,150,01/01/2015
1850,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,,,branch,150,01/01/2015
1851,University of Surrey,,,,,Surrey EARS,0,female,,branch,150,01/01/2015
1852,University of Surrey,,,,,Surrey EARS,0,male,,branch,150,01/01/2015
1853,University of Nottingham,,,,,Nottingham PhysSoc,0,male,,branch,150,01/01/2015
1854,Aberystwyth University,,,,,Aberystwyth PhySoc,0,male,,branch,150,01/01/2015
1855,Kingston University,,,,,Kingston Aeronautical & Space Society (KASS),0,male,,branch,150,01/01/2015
1856,"Calderstones School, Liverpool",,,,,,0,male,,student,150,01/01/2015
1857,University of Nottingham,,,,,Nottingham PhysSoc,0,male,,branch,150,01/01/2015
1858,University of Nottingham,,,,,Nottingham PhysSoc,0,male,,branch,150,01/01/2015
1859,Clyde Space,,,,,,0,male,,non-student,150,01/01/2015
1860,Aberystwyth University,,,,,Aberystwyth PhySoc,0,male,,branch,150,01/01/2015
1861,Open University,,,,,,0,male,,student,150,01/01/2015
1862,UKRA,,,,,,0,male,,non-student,150,01/01/2015
1863,University of Exeter,,,,,Exeter PhySoc,0,female,,branch,150,01/01/2015
1864,University of Surrey,,,,,,0,female,,branch,150,14/01/2015
1865,Cranfield University,,,,,Cranfield SEDS (CranSEDS),0,female,,branch,150,15/01/2015
1866,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1867,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1868,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1869,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1870,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1871,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1872,University of Warwick,,,,,Warwick Rockets (UWRS),0,female,,branch,150,19/01/2015
1873,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1874,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1875,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
1876,University of Warwick,,,,,Warwick Rockets (UWRS),0,male,,branch,150,19/01/2015
